13752 14:56:11 ERROR Could not load configuration file: D:\Sitecore\LandmarkSite\Website\App_Config\Include\Landmark.config: System.Xml.XmlException: 'patch' is an undeclared prefix. Line 10, position 13.
   at System.Xml.XmlTextReaderImpl.Throw(Exception e)
   at System.Xml.XmlTextReaderImpl.LookupNamespace(NodeData node)
   at System.Xml.XmlTextReaderImpl.AttributeNamespaceLookup()
   at System.Xml.XmlTextReaderImpl.ParseAttributes()
   at System.Xml.XmlTextReaderImpl.ParseElement()
   at System.Xml.XmlTextReaderImpl.ParseElementContent()
   at System.Xml.XmlReader.ReadStartElement()
   at Sitecore.Xml.Patch.XmlReaderSource.<GetChildren>d__4.MoveNext()
   at Sitecore.Xml.Patch.XmlPatchUtils.MergeChildren(XmlNode target, IXmlElement patch, XmlPatchNamespaces ns, Boolean targetWasInserted)
   at Sitecore.Xml.Patch.XmlPatchUtils.MergeChildren(XmlNode target, IXmlElement patch, XmlPatchNamespaces ns, Boolean targetWasInserted)
   at Sitecore.Configuration.ConfigPatcher.ApplyPatch(String filename)
   at Sitecore.Configuration.Factory.LoadAutoIncludeFiles(ConfigPatcher patcher, String folder)
13752 14:56:12 INFO  HttpModule is being initialized
13752 14:56:13 INFO  
13752 14:56:13 INFO  **********************************************************************
13752 14:56:13 INFO  **********************************************************************
13752 14:56:13 INFO  Sitecore started
13752 14:56:13 INFO  Sitecore.NET 7.5 (rev. 150130)
13752 14:56:13 INFO  
13752 14:56:13 INFO  d:\sitecore\landmarksite\website\bin\ajaxmin.dll (AjaxMinDLL, AjaxMin DLL for JavaScript and CSS minification)
13752 14:56:13 INFO  d:\sitecore\landmarksite\website\bin\antixsslibrary.dll (Microsoft Anti-XSS Library v4.2, Encoding classes for safe-listing encoding of HTML, XML and other output types, 4.2)
13752 14:56:13 INFO  d:\sitecore\landmarksite\website\bin\chilkatdotnet2.dll (Chilkat .NET, Chilkat .NET Components for V2.0 - V3.5 Frameworks)
13752 14:56:13 INFO  d:\sitecore\landmarksite\website\bin\componentart.web.ui.dll ()
13752 14:56:13 INFO  d:\sitecore\landmarksite\website\bin\dotless.core.dll (dotless v1.2.1.0, Dynamic CSS for .net, 1.2.1.0)
13752 14:56:13 INFO  d:\sitecore\landmarksite\website\bin\ecmascript.net.modified.dll (Modified version of the EcmaScript.NET assembly)
